Date,Open,High,Low,Close,Volume
"giu 20, 2019","54,05","54,12","53,29","53,94",1.678.680
"giu 21, 2019","52,99","53,65","52,71","53,24",2.478.340
"giu 24, 2019","53,54","53,73","53,12","53,15",1.530.316
"giu 25, 2019","52,56","53,05","52,51","52,55",1.868.630
"giu 26, 2019","52,66","52,85","52,01","52,46",1.080.646
"giu 27, 2019","52,54","52,78","52,21","52,70",1.027.565
"giu 28, 2019","52,84","52,84","52,19","52,39",886.331
"lug 1, 2019","53,56","53,82","52,98","53,71",1.908.194
"lug 2, 2019","53,27","53,70","53,13","53,68",1.386.863
"lug 3, 2019","54,21","54,81","54,19","54,72",784.101
"lug 5, 2019","54,39","55,11","54,38","55,03",1.468.741
"lug 8, 2019","54,90","54,92","54,66","54,66",1.690.989
"lug 9, 2019","54,13","54,51","53,90","54,38",1.307.543
"lug 10, 2019","55,11","55,20","54,67","54,78",833.893
"lug 11, 2019","54,99","55,21","54,89","55,02",2.796.962
"lug 12, 2019","55,68","55,99","55,55","55,77",770.123
"lug 15, 2019","56,00","56,05","55,65","55,77",917.672
"lug 16, 2019","54,17","54,51","53,69","53,99",1.461.405
"lug 17, 2019","54,78","54,80","54,17","54,37",1.025.661
"lug 18, 2019","53,65","54,05","53,41","53,95",836.388
"lug 19, 2019","54,31","54,33","53,65","53,66",400.692
"lug 22, 2019","54,02","54,05","53,68","53,80",965.219
"lug 23, 2019","54,28","54,47","54,03","54,41",730.227
"lug 24, 2019","54,87","55,21","54,75","55,10",1.115.702
"lug 25, 2019","54,50","54,76","54,32","54,55",1.381.376
"lug 26, 2019","54,80","54,93","54,59","54,80",1.631.797
"lug 29, 2019","54,00","54,84","54,00","54,70",3.001.971
"lug 30, 2019","56,06","57,41","56,02","57,10",3.197.379
"lug 31, 2019","57,00","57,29","56,28","56,86",1.443.138
"ago 1, 2019","56,45","57,29","55,66","55,85",2.243.640
"ago 2, 2019","55,30","55,45","54,67","54,98",1.266.067
"ago 5, 2019","53,83","53,83","53,32","53,65",1.873.298
"ago 6, 2019","54,78","55,00","54,33","55,00",1.194.795
"ago 7, 2019","55,48","55,84","54,93","55,53",2.389.911
"ago 8, 2019","55,41","56,34","55,30","56,25",1.499.873
"ago 9, 2019","56,48","56,59","55,71","56,11",426.219
"ago 12, 2019","56,00","56,05","55,42","55,60",487.911
"ago 13, 2019","55,70","56,64","55,51","56,26",1.145.056
"ago 14, 2019","55,23","55,26","54,14","54,32",1.272.708
"ago 15, 2019","54,70","55,22","54,58","55,02",872.838
"ago 16, 2019","54,84","55,96","54,84","55,73",1.254.688
"ago 19, 2019","55,72","55,98","55,61","55,72",934.849
"ago 20, 2019","56,00","56,02","55,59","55,66",378.054
"ago 21, 2019","56,33","57,07","56,20","56,65",1.052.774
"ago 22, 2019","55,17","55,38","54,39","54,77",1.583.586
"ago 23, 2019","54,80","55,06","53,66","53,84",1.313.241
"ago 26, 2019","55,53","55,99","55,45","55,52",1.183.037
"ago 27, 2019","55,71","55,98","55,31","55,51",726.361
"ago 28, 2019","55,22","55,71","55,14","55,61",502.276
"ago 29, 2019","56,33","57,60","56,33","56,72",917.709
"ago 30, 2019","57,11","57,17","56,57","56,91",357.036
"set 3, 2019","57,22","57,77","57,00","57,43",860.064
"set 4, 2019","58,03","58,59","57,92","58,51",934.223
"set 5, 2019","59,55","60,04","59,48","59,54",1.301.625
"set 6, 2019","59,34","59,42","59,00","59,20",679.687
"set 9, 2019","60,50","60,63","59,68","59,98",1.144.459
"set 10, 2019","59,12","59,39","58,92","59,24",759.931
"set 11, 2019","59,61","60,15","59,46","60,05",731.021
"set 12, 2019","60,14","60,44","60,00","60,25",623.208
"set 13, 2019","60,10","60,53","60,09","60,36",661.276
"set 16, 2019","59,92","60,25","59,68","59,97",400.834
"set 17, 2019","60,15","60,15","59,26","59,94",1.855.984
"set 18, 2019","59,12","59,36","58,58","59,11",822.034
"set 19, 2019","59,39","59,78","59,24","59,35",659.409
"set 20, 2019","59,31","59,58","58,76","59,12",631.232
"set 23, 2019","58,98","59,27","58,87","59,12",436.165
"set 24, 2019","59,67","59,77","58,72","58,91",992.541
"set 25, 2019","60,40","60,74","59,87","60,58",1.536.210
"set 26, 2019","59,91","60,08","59,23","59,41",830.674
"set 27, 2019","58,83","59,39","58,65","58,77",1.504.040
"set 30, 2019","58,49","59,18","58,10","59,13",675.395
"ott 1, 2019","58,50","58,96","57,65","57,96",1.000.216
"ott 2, 2019","57,25","57,25","56,51","56,83",1.016.261
"ott 3, 2019","57,35","58,00","57,00","57,93",837.03
"ott 4, 2019","57,89","58,86","57,89","58,75",640.379
"ott 7, 2019","58,10","58,40","58,07","58,07",716.372
"ott 8, 2019","57,55","57,61","57,03","57,21",713.132
"ott 9, 2019","57,78","58,10","57,69","57,87",333.488
"ott 10, 2019","57,14","57,56","57,07","57,33",728.386
"ott 11, 2019","58,00","58,91","58,00","58,14",1.388.322
"ott 14, 2019","58,14","58,38","57,82","57,84",466.983
"ott 15, 2019","58,19","58,68","58,15","58,50",951.06
"ott 16, 2019","58,50","59,04","58,49","58,92",754.901
"ott 17, 2019","60,03","60,25","59,76","60,04",774.592
"ott 18, 2019","59,80","59,87","58,60","59,21",1.090.766
"ott 21, 2019","59,44","59,58","59,11","59,18",569.357
"ott 22, 2019","59,48","59,58","58,94","58,97",650.055
"ott 23, 2019","58,77","58,81","58,24","58,58",591.283
"ott 24, 2019","59,15","59,15","58,35","58,63",728.191
"ott 25, 2019","58,23","58,62","58,03","58,51",686.591
"ott 28, 2019","58,85","59,28","58,69","59,06",881.34
"ott 29, 2019","58,86","59,34","58,83","59,24",1.500.942
"ott 30, 2019","60,20","61,77","59,86","61,07",1.284.322
"ott 31, 2019","61,08","61,09","60,41","60,83",667.833
"nov 1, 2019","61,27","61,62","61,12","61,44",615.103
"nov 4, 2019","61,80","61,85","61,34","61,57",607.456
"nov 5, 2019","61,56","61,57","61,03","61,44",663.983
"nov 6, 2019","61,04","61,20","60,68","60,73",457.741
"nov 7, 2019","60,41","60,72","60,22","60,40",685.092
"nov 8, 2019","60,25","60,57","60,15","60,41",942.071
"nov 11, 2019","61,40","61,88","61,00","61,72",1.414.122
"nov 12, 2019","62,00","62,50","61,91","62,13",1.077.265
"nov 13, 2019","62,58","62,58","62,23","62,29",1.110.228
"nov 14, 2019","62,01","62,10","61,34","61,85",431.295
"nov 15, 2019","62,00","62,20","61,72","62,06",332.696
"nov 18, 2019","63,01","63,01","62,33","62,44",849.922
"nov 19, 2019","62,24","62,32","61,75","61,90",1.518.390
"nov 20, 2019","61,72","61,88","61,25","61,48",859.623
"nov 21, 2019","61,10","61,64","60,96","61,52",1.153.918
"nov 22, 2019","61,64","61,70","61,17","61,20",610.906
"nov 25, 2019","61,71","61,95","61,58","61,80",883.788
"nov 26, 2019","63,00","63,20","62,62","63,15",2.222.821
"nov 27, 2019","63,28","63,75","63,20","63,72",1.584.082
"nov 29, 2019","63,26","63,60","63,22","63,48",952.764
"dic 2, 2019","63,46","63,56","62,69","63,28",1.520.638
"dic 3, 2019","64,40","64,63","63,91","64,59",1.650.620
"dic 4, 2019","65,27","65,56","65,08","65,29",1.125.084
"dic 5, 2019","65,16","65,29","64,80","65,20",1.156.404
"dic 6, 2019","65,34","65,47","65,15","65,29",1.030.491
"dic 9, 2019","65,61","66,30","65,61","65,93",1.345.967
"dic 10, 2019","66,57","66,70","66,04","66,31",872.9
"dic 11, 2019","66,48","66,55","66,20","66,54",1.375.214
"dic 12, 2019","66,92","67,39","66,83","67,32",1.152.279
"dic 13, 2019","67,40","67,79","67,20","67,57",1.019.420
"dic 16, 2019","68,20","68,47","68,00","68,25",1.109.431
"dic 17, 2019","68,04","68,09","67,69","67,74",747.552
"dic 18, 2019","67,83","67,91","67,40","67,70",558.04
"dic 19, 2019","68,06","68,21","67,82","67,88",670.099
"dic 20, 2019","67,24","67,91","66,92","67,90",1.594.366
"dic 23, 2019","67,81","68,17","67,60","68,08",601.433
"dic 24, 2019","67,98","68,00","67,76","67,76",264.463
"dic 26, 2019","68,00","68,03","67,85","68,02",518.061
"dic 27, 2019","68,03","68,10","67,73","67,78",351.118
"dic 30, 2019","67,78","67,79","67,25","67,72",993.865
"dic 31, 2019","67,72","68,03","67,51","68,00",549.782
"gen 2, 2020","68,30","69,06","68,28","69,06",856.836
"gen 3, 2020","68,50","68,65","67,96","68,08",518.652
"gen 6, 2020","68,25","69,20","68,22","69,11",755.475
"gen 7, 2020","70,51","70,58","69,81","70,20",1.317.188
"gen 8, 2020","70,80","71,12","70,37","70,46",1.640.237
"gen 9, 2020","71,40","71,66","70,59","71,03",2.378.965
"gen 10, 2020","71,46","71,46","70,74","70,86",1.120.485
"gen 13, 2020","71,39","71,70","71,08","71,64",1.272.278
