Date,Open,High,Low,Close,Volume
"ott 2, 2019","28,67","29,55","28,31","29,00",9.371.270
"ott 3, 2019","28,97","29,88","28,52","29,72",9.461.973
"ott 4, 2019","29,90","30,18","28,90","29,67",8.633.938
"ott 7, 2019","30,60","30,75","29,83","30,37",10.151.451
"ott 8, 2019","30,01","30,15","29,17","29,28",7.806.911
"ott 9, 2019","29,62","29,62","28,81","29,07",7.162.775
"ott 10, 2019","29,21","29,28","28,58","28,87",7.797.845
"ott 11, 2019","28,95","30,40","28,94","30,13",10.298.616
"ott 14, 2019","30,22","31,54","29,82","31,12",7.966.943
"ott 15, 2019","31,20","32,17","31,20","32,00",7.904.528
"ott 16, 2019","31,80","32,38","31,44","31,87",7.802.690
"ott 17, 2019","31,80","32,93","31,45","32,62",7.239.293
"ott 18, 2019","32,55","32,66","31,27","32,06",8.074.207
"ott 21, 2019","31,95","32,28","31,19","31,41",7.232.322
"ott 22, 2019","31,41","33,89","30,22","32,53",19.244.283
"ott 23, 2019","32,87","33,27","32,17","33,05",6.843.199
"ott 24, 2019","33,00","33,42","32,51","33,28",6.789.619
"ott 25, 2019","33,20","33,48","32,61","32,71",8.106.804
"ott 28, 2019","32,90","33,35","32,50","33,22",8.073.107
"ott 29, 2019","32,37","32,92","31,81","32,42",9.357.355
"ott 30, 2019","32,51","33,80","32,11","33,75",10.861.056
"ott 31, 2019","33,23","33,36","31,26","31,50",16.130.023
"nov 1, 2019","31,45","31,70","30,74","31,37",10.460.430
"nov 4, 2019","31,45","31,75","30,12","31,08",32.330.121
"nov 5, 2019","29,13","29,30","27,97","28,02",52.180.615
"nov 6, 2019","26,06","27,55","25,58","26,94",133.569.790
"nov 7, 2019","26,80","27,42","26,45","27,38",65.949.472
"nov 8, 2019","27,48","27,62","26,92","27,01",45.263.118
"nov 11, 2019","27,03","27,21","26,23","27,14",41.445.732
"nov 12, 2019","27,38","27,66","26,66","26,70",37.095.389
"nov 13, 2019","26,47","26,82","26,14","26,71",34.512.663
"nov 14, 2019","26,80","26,86","25,67","25,99",28.027.875
"nov 15, 2019","26,18","26,80","25,96","26,79",41.372.771
"nov 18, 2019","26,80","27,00","26,30","26,75",37.309.667
"nov 19, 2019","26,77","27,22","26,61","27,05",34.115.865
"nov 20, 2019","27,06","28,40","26,95","28,03",54.075.774
"nov 21, 2019","28,67","29,60","28,50","29,46",55.658.629
"nov 22, 2019","29,84","30,13","29,21","29,56",44.383.876
"nov 25, 2019","28,69","29,60","28,38","29,11",37.571.611
"nov 26, 2019","29,49","30,15","29,36","29,53",29.590.489
"nov 27, 2019","29,42","29,59","28,88","29,49",22.463.869
"nov 29, 2019","29,41","29,85","29,25","29,60",8.115.145
"dic 2, 2019","29,32","29,53","28,70","28,98",17.423.896
"dic 3, 2019","28,20","29,33","28,15","29,02",25.389.163
"dic 4, 2019","29,10","29,20","28,70","29,06",22.526.474
"dic 5, 2019","28,94","28,99","28,18","28,65",22.567.274
"dic 6, 2019","28,40","28,93","27,80","27,86",33.144.371
"dic 9, 2019","27,96","28,36","27,68","27,68",21.098.387
"dic 10, 2019","27,73","27,99","27,61","27,89",23.604.938
"dic 11, 2019","27,99","28,55","27,85","28,42",23.286.546
"dic 12, 2019","28,29","28,75","28,19","28,69",23.581.479
"dic 13, 2019","28,58","28,84","28,27","28,49",25.439.340
"dic 16, 2019","29,11","30,13","29,10","30,05",57.408.195
"dic 17, 2019","30,37","30,42","29,53","29,75",38.254.270
"dic 18, 2019","29,62","30,14","29,34","30,13",35.389.841
"dic 19, 2019","29,84","30,17","29,53","29,99",33.816.868
"dic 20, 2019","30,10","31,03","29,85","30,45",95.461.687
"dic 23, 2019","30,49","30,94","29,83","30,33",31.212.255
"dic 24, 2019","30,33","30,84","30,11","30,44",12.938.593
"dic 26, 2019","30,47","30,79","30,03","30,67",22.224.500
"dic 27, 2019","30,80","31,06","30,17","30,17",18.465.965
"dic 30, 2019","30,13","30,20","29,35","29,74",18.812.846
"dic 31, 2019","29,11","29,95","28,90","29,74",16.233.064
"gen 2, 2020","29,94","31,00","29,79","30,99",20.583.240
"gen 3, 2020","30,62","31,43","30,48","31,37",18.831.450
"gen 6, 2020","31,01","32,06","31,00","31,58",21.215.865
"gen 7, 2020","31,79","32,84","31,36","32,81",30.268.966
"gen 8, 2020","32,73","34,52","32,46","33,93",43.955.449
"gen 9, 2020","34,45","34,47","33,22","33,97",29.407.616
"gen 10, 2020","34,08","34,99","33,84","34,01",34.276.990
"gen 13, 2020","34,29","34,34","33,55","34,14",16.833.139
"gen 14, 2020","34,20","35,02","33,92","34,84",26.029.814
"gen 15, 2020","34,90","35,15","34,51","35,01",20.762.167
"gen 16, 2020","35,03","35,06","34,18","34,68",21.955.292
"gen 17, 2020","34,97","35,25","34,65","35,13",17.251.231
"gen 21, 2020","35,50","37,80","35,41","37,60",48.746.661
"gen 22, 2020","37,94","37,94","36,92","37,04",29.765.240
"gen 23, 2020","36,97","37,95","36,73","37,40",21.365.954
"gen 24, 2020","37,50","37,67","36,25","36,80",21.598.009
"gen 27, 2020","35,23","36,65","34,19","36,30",18.817.966
"gen 28, 2020","37,14","37,33","36,04","37,01",28.973.963
"gen 29, 2020","36,98","37,57","36,80","36,99",16.882.299
"gen 30, 2020","36,82","37,13","35,95","36,68",22.846.954
"gen 31, 2020","37,00","37,04","35,69","36,29",21.553.665
