Date,Open,High,Low,Close,Volume
"giu 16, 2021","49,35","49,66","48,29","48,89",18.975.750
"giu 17, 2021","48,96","49,84","48,31","49,70",18.887.261
"giu 18, 2021","49,31","50,39","48,78","49,70",20.633.523
"giu 21, 2021","49,72","49,86","47,90","48,12",30.752.163
"giu 22, 2021","48,30","49,34","47,75","49,05",19.472.455
"giu 23, 2021","49,06","50,77","49,01","50,51",19.843.277
"giu 24, 2021","51,30","51,55","50,22","50,82",12.403.301
"giu 25, 2021","51,18","51,83","50,53","51,73",25.727.827
"giu 28, 2021","51,75","52,36","50,37","51,11",22.518.031
"giu 29, 2021","51,00","51,30","50,24","50,76",14.104.177
"giu 30, 2021","51,02","51,13","49,71","50,12",18.069.434
"lug 1, 2021","50,88","51,60","50,02","50,59",17.732.585
"lug 2, 2021","50,57","51,83","50,39","51,71",13.698.243
"lug 6, 2021","50,60","52,03","50,40","50,80",21.357.834
"lug 7, 2021","50,80","51,03","48,54","48,68",24.559.506
"lug 8, 2021","47,16","48,21","46,57","47,55",24.930.159
"lug 9, 2021","47,84","49,25","47,71","49,07",15.400.975
"lug 12, 2021","48,87","49,29","48,09","48,41",14.142.309
"lug 13, 2021","48,49","48,59","47,75","48,08",11.283.578
"lug 14, 2021","48,28","48,59","47,11","47,15",15.837.013
"lug 15, 2021","46,86","47,46","46,15","46,42",17.225.275
"lug 16, 2021","46,40","47,09","46,01","46,19",18.224.518
"lug 19, 2021","45,00","45,75","44,44","45,56",20.890.643
"lug 20, 2021","45,46","46,66","45,07","46,32",13.851.368
"lug 21, 2021","46,53","47,94","46,35","47,52",14.953.653
"lug 22, 2021","47,70","48,17","47,24","47,57",11.560.839
"lug 23, 2021","47,61","47,69","46,78","47,46",9.540.666
"lug 26, 2021","47,04","47,60","46,37","46,81",12.497.997
"lug 27, 2021","46,54","46,66","44,77","45,82",16.874.229
"lug 28, 2021","45,88","46,96","45,81","46,14",19.510.262
"lug 29, 2021","44,12","45,21","44,00","44,69",51.033.697
"lug 30, 2021","44,38","44,73","43,34","43,46",22.194.938
"ago 2, 2021","44,10","44,29","43,45","43,49",26.579.889
"ago 3, 2021","43,56","43,68","41,62","42,79",37.622.181
"ago 4, 2021","42,70","42,82","41,37","41,81",42.969.148
"ago 5, 2021","40,50","44,65","40,15","43,07",60.871.534
"ago 6, 2021","43,74","44,94","43,65","44,28",25.514.939
"ago 9, 2021","44,19","44,27","43,21","43,25",19.238.407
"ago 10, 2021","43,70","44,24","43,25","43,50",26.675.230
"ago 11, 2021","43,41","43,50","42,00","43,08",21.766.053
"ago 12, 2021","42,86","42,97","42,18","42,73",16.556.292
"ago 13, 2021","42,80","43,03","42,20","42,22",8.598.787
"ago 16, 2021","41,76","41,79","40,86","41,50",19.250.132
"ago 17, 2021","41,00","41,48","40,58","41,00",20.364.438
"ago 18, 2021","40,97","41,53","40,80","40,88",13.682.286
"ago 19, 2021","40,28","40,60","39,51","39,86",22.471.416
"ago 20, 2021","39,69","40,08","39,24","39,95",18.080.694
"ago 23, 2021","39,00","41,08","38,84","41,00",33.901.259
"ago 24, 2021","41,10","41,21","39,97","40,17",44.872.760
"ago 25, 2021","40,44","42,11","40,04","41,55",26.498.361
"ago 26, 2021","41,49","41,94","40,54","40,62",17.473.357
"ago 27, 2021","40,53","41,31","40,50","40,69",13.612.504
"ago 30, 2021","40,58","40,74","39,11","39,59",29.516.296
"ago 31, 2021","39,81","40,28","39,13","39,14",26.395.998
"set 1, 2021","39,98","41,67","39,87","40,62",27.788.584
"set 2, 2021","40,75","41,86","40,54","41,40",20.654.223
"set 3, 2021","41,22","41,58","40,23","40,32",15.466.520
"set 7, 2021","40,49","41,08","40,31","40,95",15.708.573
"set 8, 2021","40,85","41,34","39,83","40,07",16.219.948
"set 9, 2021","40,10","40,95","39,84","40,35",14.260.282
"set 10, 2021","40,62","40,83","39,87","39,89",14.230.634
"set 13, 2021","40,26","41,19","39,26","40,07",28.868.762
"set 14, 2021","39,90","40,10","38,55","39,01",36.717.255
"set 15, 2021","39,00","39,00","38,08","38,48",30.368.821
"set 16, 2021","38,30","39,67","38,09","39,52",25.374.019
"set 17, 2021","39,90","40,23","39,29","39,75",32.178.093
"set 20, 2021","38,88","40,22","38,73","39,79",35.417.620
"set 21, 2021","42,34","45,00","42,18","44,36",106.631.670
"set 22, 2021","44,90","46,62","44,61","44,87",56.455.147
