Date,Open,High,Low,Close,Volume
"giu 16, 2021","65,44","66,35","65,30","66,09",5.626.187
"giu 17, 2021","65,67","66,30","65,25","65,33",6.398.546
"giu 18, 2021","64,84","64,93","63,14","63,26",11.438.726
"giu 21, 2021","63,38","64,97","63,36","64,40",6.483.904
"giu 22, 2021","64,28","65,13","63,41","64,89",5.311.268
"giu 23, 2021","65,02","65,93","64,89","65,30",4.462.058
"giu 24, 2021","65,41","66,75","65,14","66,57",5.522.496
"giu 25, 2021","66,75","68,19","66,75","67,90",8.999.367
"giu 28, 2021","68,26","68,97","67,57","68,82",5.413.575
"giu 29, 2021","69,00","70,64","68,85","70,49",6.512.970
"giu 30, 2021","70,23","70,66","69,69","70,21",7.299.786
"lug 1, 2021","70,21","70,77","69,03","69,80",8.519.809
"lug 2, 2021","69,99","70,31","69,36","70,08",4.910.250
"lug 6, 2021","70,15","70,15","68,89","69,02",6.112.146
"lug 7, 2021","69,16","70,52","68,99","70,07",6.019.524
"lug 8, 2021","68,66","69,29","68,38","68,65",5.581.827
"lug 9, 2021","68,83","69,95","68,58","69,46",5.263.641
"lug 12, 2021","69,82","70,25","68,85","68,97",5.629.012
"lug 13, 2021","68,82","69,47","68,50","68,74",4.491.765
"lug 14, 2021","69,67","70,31","67,96","68,03",6.484.165
"lug 15, 2021","68,06","68,63","67,64","68,14",4.577.980
"lug 16, 2021","68,41","68,80","68,14","68,18",4.279.106
"lug 19, 2021","67,61","68,88","67,28","68,53",6.464.350
"lug 20, 2021","68,70","69,61","68,58","69,57",6.223.929
"lug 21, 2021","69,41","70,07","69,23","69,86",6.082.554
"lug 22, 2021","69,85","72,10","69,61","72,06",8.802.193
"lug 23, 2021","72,12","73,77","71,66","73,54",6.700.455
"lug 26, 2021","72,89","73,97","72,89","73,26",7.653.900
"lug 27, 2021","73,09","73,24","71,07","72,29",8.159.373
"lug 28, 2021","72,58","73,57","72,22","72,89",5.141.052
"lug 29, 2021","73,14","74,13","73,05","73,41",4.963.149
"lug 30, 2021","72,06","72,07","68,08","68,21",11.995.258
"ago 2, 2021","68,81","69,36","67,58","68,63",6.785.149
"ago 3, 2021","68,75","68,78","67,64","68,01",5.997.944
"ago 4, 2021","67,92","68,70","67,72","68,00",6.715.916
"ago 5, 2021","67,70","67,88","65,58","67,28",9.926.204
"ago 6, 2021","67,26","67,28","65,27","65,49",8.888.335
"ago 9, 2021","65,74","66,32","65,07","65,35",7.186.357
"ago 10, 2021","65,36","67,58","65,35","67,31",7.358.923
"ago 11, 2021","67,22","68,22","66,95","68,02",10.104.412
"ago 12, 2021","67,17","69,04","66,36","68,89",10.680.438
"ago 13, 2021","68,64","74,15","68,59","74,02",17.907.608
"ago 16, 2021","73,72","76,55","73,51","75,25",12.694.015
"ago 17, 2021","74,04","74,74","72,66","72,84",9.422.840
"ago 18, 2021","72,98","74,14","72,36","72,83",6.536.394
"ago 19, 2021","72,36","73,55","72,06","72,83",5.607.281
"ago 20, 2021","72,90","73,84","72,81","73,36",5.398.789
"ago 23, 2021","73,41","73,47","71,78","73,20",5.044.717
"ago 24, 2021","73,53","74,00","72,62","72,84",6.132.265
"ago 25, 2021","72,85","74,49","72,71","74,16",5.052.561
"ago 26, 2021","74,34","75,96","73,76","75,64",5.539.669
"ago 27, 2021","75,30","76,58","75,19","76,41",5.093.508
"ago 30, 2021","76,43","77,83","76,04","77,55",5.541.738
"ago 31, 2021","77,49","77,72","76,57","76,74",6.806.261
"set 1, 2021","77,06","77,06","75,90","76,15",5.740.481
"set 2, 2021","76,31","77,22","76,12","76,49",5.031.017
"set 3, 2021","76,31","76,95","75,98","76,53",4.437.792
"set 7, 2021","76,41","76,46","74,65","74,71",6.041.310
"set 8, 2021","74,82","74,99","73,68","73,93",6.351.325
"set 9, 2021","73,83","74,09","72,94","73,00",5.164.427
"set 10, 2021","73,98","74,27","72,48","72,56",5.393.137
"set 13, 2021","72,96","73,13","71,87","72,67",5.768.636
"set 14, 2021","72,75","73,02","71,03","71,39",6.576.807
"set 15, 2021","71,96","74,99","71,86","73,99",10.771.096
"set 16, 2021","73,43","75,11","73,31","74,70",6.630.312
"set 17, 2021","74,89","75,10","73,73","74,11",8.874.889
"set 20, 2021","72,68","73,00","70,75","72,87",9.841.486
"set 21, 2021","73,41","74,03","72,07","72,12",5.375.285
"set 22, 2021","72,59","73,73","72,38","73,21",4.028.670
"set 23, 2021","73,49","74,41","73,18","73,51",4.128.848
"set 24, 2021","72,93","73,40","72,72","72,99",3.486.777
"set 27, 2021","72,73","73,81","72,41","73,67",4.268.685
"set 28, 2021","72,83","73,67","70,73","71,26",5.379.807
"set 29, 2021","71,52","71,83","69,73","69,97",5.621.521
"set 30, 2021","70,27","70,66","69,62","69,67",3.927.253
"ott 1, 2021","69,70","70,36","69,02","69,91",4.069.134
"ott 4, 2021","69,43","69,58","68,28","68,47",4.648.378
"ott 5, 2021","68,88","70,63","68,67","69,97",3.932.747
"ott 6, 2021","69,31","71,60","69,14","71,54",4.866.998
"ott 7, 2021","72,97","75,17","72,85","74,17",7.309.180
"ott 8, 2021","74,44","75,95","74,33","75,05",4.672.839
"ott 11, 2021","74,69","74,90","74,20","74,50",2.817.859
"ott 12, 2021","75,21","75,71","74,51","74,67",3.408.381
"ott 13, 2021","74,97","75,33","74,24","74,90",2.929.525
"ott 14, 2021","75,55","75,75","74,22","74,68",4.770.057
"ott 15, 2021","75,24","75,42","74,64","74,90",4.358.548
"ott 18, 2021","74,67","75,05","73,89","74,25",5.730.048
"ott 19, 2021","74,41","75,38","74,38","74,72",3.425.809
"ott 20, 2021","74,96","76,95","74,62","75,97",5.201.692
"ott 21, 2021","75,58","76,27","75,06","76,21",3.615.466
"ott 22, 2021","76,29","81,19","76,29","80,59",11.047.525
"ott 25, 2021","80,59","81,06","79,90","80,57",6.299.553
"ott 26, 2021","80,97","80,98","78,40","78,50",6.145.664
"ott 27, 2021","78,25","78,50","77,29","77,66",7.896.527
"ott 28, 2021","74,03","74,48","70,55","72,41",17.831.751
"ott 29, 2021","72,07","76,98","72,07","76,72",16.714.321
"nov 1, 2021","76,47","77,61","75,55","76,30",7.915.663
"nov 2, 2021","75,63","76,38","74,47","74,90",7.002.322
"nov 3, 2021","74,69","76,13","73,86","75,45",9.462.680
"nov 4, 2021","75,66","77,00","74,95","76,28",5.958.196
"nov 5, 2021","76,65","76,94","75,53","75,57",4.692.850
"nov 8, 2021","75,79","76,53","73,50","73,76",8.320.488
"nov 9, 2021","74,10","75,47","73,78","73,96",8.317.799
"nov 10, 2021","73,87","74,72","72,94","73,23",6.126.591
"nov 11, 2021","74,03","74,95","73,29","73,30",4.201.145
"nov 12, 2021","73,46","74,13","72,53","73,91",3.793.610
"nov 15, 2021","74,47","76,24","74,00","74,21",5.079.476
"nov 16, 2021","74,30","76,58","74,19","75,89",6.200.423
"nov 17, 2021","75,80","75,92","72,99","73,38",6.393.343
"nov 18, 2021","73,50","75,05","73,46","74,72",9.834.289
"nov 19, 2021","74,90","76,41","74,47","74,63",5.573.805
"nov 22, 2021","74,43","75,19","73,54","73,57",4.577.106
"nov 23, 2021","73,21","73,38","71,04","71,65",10.521.545
"nov 24, 2021","71,35","72,88","70,91","72,66",4.675.212
"nov 26, 2021","72,97","73,60","72,10","72,47",4.121.923
"nov 29, 2021","72,54","72,66","69,53","70,55",7.789.499
"nov 30, 2021","70,33","70,72","66,89","67,46",21.869.079
"dic 1, 2021","68,64","68,65","66,74","66,81",11.859.717
"dic 2, 2021","67,17","67,95","66,28","67,48",8.384.881
"dic 3, 2021","67,78","68,54","66,31","67,05",10.336.625
"dic 6, 2021","67,13","67,14","65,54","66,07",6.413.139
"dic 7, 2021","66,72","67,65","66,53","67,23",6.224.509
"dic 8, 2021","67,33","67,71","66,28","67,16",6.751.941
"dic 9, 2021","66,99","67,69","66,55","66,60",4.523.754
"dic 10, 2021","66,81","67,15","65,94","66,89",7.593.727
"dic 13, 2021","66,47","67,44","66,22","66,69",6.043.699
"dic 14, 2021","66,25","66,46","65,27","65,85",9.297.812
"dic 15, 2021","65,32","65,76","64,25","65,61",10.196.356
"dic 16, 2021","65,78","66,13","63,95","64,04",8.521.352
