Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,129.636703,129.990433,128.336517,129.971313,99.541290,5469952
2016-01-05,130.745697,130.869980,128.919693,129.875717,99.468071,4105341
2016-01-06,128.470367,129.617584,127.743790,129.225616,98.970200,4509201
2016-01-07,127.820267,129.082214,126.606117,127.017204,97.278847,7348987
2016-01-08,127.323135,127.934990,125.544930,125.841301,96.378227,4981784
2016-01-11,126.013382,127.934990,125.965584,127.370934,97.549744,5203222
2016-01-12,127.772469,127.896751,125.363289,127.055450,97.308128,5312320
2016-01-13,127.629066,128.374756,125.334610,125.401527,96.041428,4916305
2016-01-14,126.128105,127.906311,125.449333,127.065010,97.315437,5972242
2016-01-15,124.292542,125.124283,123.202675,124.311661,95.206726,9422891
2016-01-19,124.388145,126.290634,122.428299,122.476097,93.800919,10438662
2016-01-20,113.250481,118.537285,112.810707,116.500954,89.224731,16901059
2016-01-21,115.965584,119.598473,115.277245,117.504784,89.993530,9258774
2016-01-22,119.187378,119.254303,116.414917,117.112808,89.693344,9663366
2016-01-25,116.730400,118.766731,116.290634,116.711281,89.385826,5696516
2016-01-26,116.873802,118.173996,116.864243,117.198853,89.759224,4830219
2016-01-27,117.332695,117.944550,115.344170,115.640533,88.565765,5257614
2016-01-28,115.927345,117.428299,115.688339,116.845123,89.488297,4123855
2016-01-29,117.858505,119.302101,117.552582,119.302101,91.370056,8627513
2016-02-01,118.929253,119.780113,118.269600,119.340347,91.399345,3739345
2016-02-02,118.231361,118.680687,117.246651,117.533463,90.015495,3438516
2016-02-03,118.537285,119.933075,116.912048,119.235184,91.318802,6509781
2016-02-04,119.579353,122.848946,119.502869,122.036331,93.464134,5508759
2016-02-05,121.625237,122.982796,120.315491,122.915871,94.137741,7507874
2016-02-08,120.458893,121.902489,118.671127,121.395790,93.923233,7702744
2016-02-09,120.573616,121.347992,118.326958,118.613770,91.770782,6231231
2016-02-10,119.502869,119.780113,114.569794,114.904396,88.900879,6766679
